Name,City,Product,Quantity,Price,Name,City,Product,Quantity,Price
Frank,New York,Phone,3,948,Frank,New York,Phone,3,948
Alice,Paris,Mouse,7,577,Alice,Paris,Mouse,7,577
Frank,Paris,Monitor,9,811,Frank,Paris,Monitor,9,811
David,Berlin,Keyboard,9,931,David,Berlin,Keyboard,9,931
Bob,London,Tablet,5,357,Bob,London,Tablet,5,357
Charlie,Paris,Mouse,6,226,Charlie,Paris,Mouse,6,226
David,Tokyo,Phone,7,980,David,Tokyo,Phone,7,980
Eve,Tokyo,Tablet,9,285,Eve,Tokyo,Tablet,9,285
Frank,Paris,Phone,10,440,Frank,Paris,Phone,10,440
David,New York,Laptop,7,409,David,New York,Laptop,7,409
Bob,New York,Monitor,10,832,Bob,New York,Monitor,10,832
Alice,Sydney,Keyboard,6,514,Alice,Sydney,Keyboard,6,514
Frank,Tokyo,Tablet,4,366,Frank,Tokyo,Tablet,4,366
Alice,New York,Monitor,9,455,Alice,New York,Monitor,9,455
Eve,Sydney,Monitor,8,739,Eve,Sydney,Monitor,8,739
Bob,London,Keyboard,2,598,Bob,London,Keyboard,2,598
David,Sydney,Tablet,7,312,David,Sydney,Tablet,7,312
Eve,London,Keyboard,5,746,Eve,London,Keyboard,5,746
David,Berlin,Monitor,5,769,David,Berlin,Monitor,5,769
David,Tokyo,Laptop,10,168,David,Tokyo,Laptop,10,168
Frank,Berlin,Phone,9,419,Frank,Berlin,Phone,9,419
Alice,Berlin,Tablet,1,811,Alice,Berlin,Tablet,1,811
Bob,Berlin,Laptop,8,342,Bob,Berlin,Laptop,8,342
David,Sydney,Monitor,3,142,David,Sydney,Monitor,3,142
Eve,London,Tablet,9,165,Eve,London,Tablet,9,165
Frank,Sydney,Keyboard,5,652,Frank,Sydney,Keyboard,5,652
Charlie,New York,Laptop,2,953,Charlie,New York,Laptop,2,953
Alice,London,Monitor,6,438,Alice,London,Monitor,6,438
Alice,Tokyo,Monitor,3,685,Alice,Tokyo,Monitor,3,685
Bob,Paris,Tablet,2,828,Bob,Paris,Tablet,2,828
Eve,Sydney,Tablet,4,839,Eve,Sydney,Tablet,4,839
Eve,New York,Mouse,8,317,Eve,New York,Mouse,8,317
Charlie,New York,Phone,6,141,Charlie,New York,Phone,6,141
Alice,Tokyo,Laptop,1,521,Alice,Tokyo,Laptop,1,521
Eve,Paris,Tablet,3,319,Eve,Paris,Tablet,3,319
Eve,Paris,Mouse,3,872,Eve,Paris,Mouse,3,872
David,Tokyo,Monitor,3,769,David,Tokyo,Monitor,3,769
Frank,Tokyo,Laptop,1,867,Frank,Tokyo,Laptop,1,867
Bob,Paris,Monitor,9,859,Bob,Paris,Monitor,9,859
Bob,Sydney,Keyboard,10,485,Bob,Sydney,Keyboard,10,485
Bob,London,Phone,1,523,Bob,London,Phone,1,523
Alice,London,Keyboard,4,691,Alice,London,Keyboard,4,691
Frank,Sydney,Tablet,1,801,Frank,Sydney,Tablet,1,801
Bob,Paris,Laptop,2,740,Bob,Paris,Laptop,2,740
Alice,Paris,Laptop,4,419,Alice,Paris,Laptop,4,419
Charlie,Tokyo,Phone,2,796,Charlie,Tokyo,Phone,2,796
David,Sydney,Monitor,5,483,David,Sydney,Monitor,5,483
Bob,London,Monitor,3,932,Bob,London,Monitor,3,932
Alice,Berlin,Tablet,7,143,Alice,Berlin,Tablet,7,143
Alice,London,Monitor,9,131,Alice,London,Monitor,9,131
David,Paris,Tablet,5,847,David,Paris,Tablet,5,847
David,Berlin,Mouse,5,944,David,Berlin,Mouse,5,944
Frank,London,Monitor,2,211,Frank,London,Monitor,2,211
Eve,London,Monitor,5,650,Eve,London,Monitor,5,650
Eve,New York,Keyboard,1,242,Eve,New York,Keyboard,1,242
Bob,Paris,Phone,6,443,Bob,Paris,Phone,6,443
Charlie,Paris,Laptop,1,527,Charlie,Paris,Laptop,1,527
Alice,Berlin,Mouse,6,691,Alice,Berlin,Mouse,6,691
Eve,Tokyo,Laptop,7,712,Eve,Tokyo,Laptop,7,712
